original,filename,size,path,width,height,alt,file_size_kb
2025_ SOL_ Hero-2-3.jpg,sing-out-loud-festival-francis-field-concert-1920w.webp,large,sing-out-loud-festival-francis-field-concert-1920w.webp,1920,1536,"Large crowd watching outdoor concert performance on main stage at Francis Field in St. Augustine, Florida",363.6
2025_ SOL_ Hero-2-3.jpg,sing-out-loud-festival-francis-field-concert-1200w.webp,medium,sing-out-loud-festival-francis-field-concert-1200w.webp,1200,959,"Large crowd watching outdoor concert performance on main stage at Francis Field in St. Augustine, Florida",169.5
2025_ SOL_ Hero-2-3.jpg,sing-out-loud-festival-francis-field-concert-400w.webp,thumb,sing-out-loud-festival-francis-field-concert-400w.webp,400,320,"Large crowd watching outdoor concert performance on main stage at Francis Field in St. Augustine, Florida",27.6
2025_ SOL_ Hero-2.jpg,sing-out-loud-festival-francis-field-stage-1920w.webp,large,sing-out-loud-festival-francis-field-stage-1920w.webp,1920,1535,"Large crowd watching illuminated concert stage with performers and video screens at Francis Field in St. Augustine, Florida",475.3
2025_ SOL_ Hero-2.jpg,sing-out-loud-festival-francis-field-stage-1200w.webp,medium,sing-out-loud-festival-francis-field-stage-1200w.webp,1200,959,"Large crowd watching illuminated concert stage with performers and video screens at Francis Field in St. Augustine, Florida",168.1
2025_ SOL_ Hero-2.jpg,sing-out-loud-festival-francis-field-stage-400w.webp,thumb,sing-out-loud-festival-francis-field-stage-400w.webp,400,319,"Large crowd watching illuminated concert stage with performers and video screens at Francis Field in St. Augustine, Florida",25.0
2025_ SOL_ LeGrand-2.jpg,sing-out-loud-festival-crowd-francis-field-1920w.webp,large,sing-out-loud-festival-crowd-francis-field-1920w.webp,1080,720,"Excited young woman waves hand in crowded festival audience at Francis Field in St. Augustine, Florida",57.3
2025_ SOL_ LeGrand-2.jpg,sing-out-loud-festival-crowd-francis-field-1200w.webp,medium,sing-out-loud-festival-crowd-francis-field-1200w.webp,1080,720,"Excited young woman waves hand in crowded festival audience at Francis Field in St. Augustine, Florida",57.3
2025_ SOL_ LeGrand-2.jpg,sing-out-loud-festival-crowd-francis-field-400w.webp,thumb,sing-out-loud-festival-crowd-francis-field-400w.webp,400,266,"Excited young woman waves hand in crowded festival audience at Francis Field in St. Augustine, Florida",17.5
2025_SOL_DAY 2_ SOMBR_02.jpg,sing-out-loud-festival-francis-field-performance-1920w.webp,large,sing-out-loud-festival-francis-field-performance-1920w.webp,1080,1350,"Rock band performing on stage with dramatic lighting and crowd at Francis Field in St. Augustine, Florida",273.4
2025_SOL_DAY 2_ SOMBR_02.jpg,sing-out-loud-festival-francis-field-performance-1200w.webp,medium,sing-out-loud-festival-francis-field-performance-1200w.webp,1080,1350,"Rock band performing on stage with dramatic lighting and crowd at Francis Field in St. Augustine, Florida",273.4
