original,filename,size,path,width,height,alt,file_size_kb
corporate-event-photographer-1.jpg,corporate-event-photographer-1-1920w.webp,large,corporate-event-photographer-1-1920w.webp,1920,2880,,331.8
corporate-event-photographer-1.jpg,corporate-event-photographer-1-1200w.webp,medium,corporate-event-photographer-1-1200w.webp,1200,1800,,106.3
corporate-event-photographer-1.jpg,corporate-event-photographer-1-400w.webp,thumb,corporate-event-photographer-1-400w.webp,400,600,,23.7
corporate-event-photographer-2.jpg,corporate-event-photographer-2-1920w.webp,large,corporate-event-photographer-2-1920w.webp,1920,2880,,449.0
corporate-event-photographer-2.jpg,corporate-event-photographer-2-1200w.webp,medium,corporate-event-photographer-2-1200w.webp,1200,1800,,129.5
corporate-event-photographer-2.jpg,corporate-event-photographer-2-400w.webp,thumb,corporate-event-photographer-2-400w.webp,400,600,,24.5
corporate-event-photographer-3.jpg,corporate-event-photographer-3-1920w.webp,large,corporate-event-photographer-3-1920w.webp,1920,2880,,504.8
corporate-event-photographer-3.jpg,corporate-event-photographer-3-1200w.webp,medium,corporate-event-photographer-3-1200w.webp,1200,1800,,127.4
corporate-event-photographer-3.jpg,corporate-event-photographer-3-400w.webp,thumb,corporate-event-photographer-3-400w.webp,400,600,,28.4
corporate-event-photographer-4.jpg,corporate-event-photographer-4-1920w.webp,large,corporate-event-photographer-4-1920w.webp,1920,1280,,378.6
corporate-event-photographer-4.jpg,corporate-event-photographer-4-1200w.webp,medium,corporate-event-photographer-4-1200w.webp,1200,800,,173.1
corporate-event-photographer-4.jpg,corporate-event-photographer-4-400w.webp,thumb,corporate-event-photographer-4-400w.webp,400,266,,27.6
corporate-event-photographer-5.jpg,corporate-event-photographer-5-1920w.webp,large,corporate-event-photographer-5-1920w.webp,1920,2880,,497.4
corporate-event-photographer-5.jpg,corporate-event-photographer-5-1200w.webp,medium,corporate-event-photographer-5-1200w.webp,1200,1800,,162.5
corporate-event-photographer-5.jpg,corporate-event-photographer-5-400w.webp,thumb,corporate-event-photographer-5-400w.webp,400,600,,34.9
corporate-event-photographer-6.jpg,corporate-event-photographer-6-1920w.webp,large,corporate-event-photographer-6-1920w.webp,1920,2880,,620.8
corporate-event-photographer-6.jpg,corporate-event-photographer-6-1200w.webp,medium,corporate-event-photographer-6-1200w.webp,1200,1800,,125.8
corporate-event-photographer-6.jpg,corporate-event-photographer-6-400w.webp,thumb,corporate-event-photographer-6-400w.webp,400,600,,20.9
