original,filename,size,path,width,height,alt,file_size_kb
corporate-event-photographer-rsa-1.jpg,corporate-event-photographer-rsa-1-1920w.webp,large,corporate-event-photographer-rsa-1-1920w.webp,1920,1280,,103.1
corporate-event-photographer-rsa-1.jpg,corporate-event-photographer-rsa-1-1200w.webp,medium,corporate-event-photographer-rsa-1-1200w.webp,1200,800,,51.0
corporate-event-photographer-rsa-1.jpg,corporate-event-photographer-rsa-1-400w.webp,thumb,corporate-event-photographer-rsa-1-400w.webp,400,266,,14.4
corporate-event-photographer-rsa-2.jpg,corporate-event-photographer-rsa-2-1920w.webp,large,corporate-event-photographer-rsa-2-1920w.webp,1920,1280,,229.7
corporate-event-photographer-rsa-2.jpg,corporate-event-photographer-rsa-2-1200w.webp,medium,corporate-event-photographer-rsa-2-1200w.webp,1200,800,,94.3
corporate-event-photographer-rsa-2.jpg,corporate-event-photographer-rsa-2-400w.webp,thumb,corporate-event-photographer-rsa-2-400w.webp,400,266,,17.7
corporate-event-photographer-rsa-3.jpg,corporate-event-photographer-rsa-3-1920w.webp,large,corporate-event-photographer-rsa-3-1920w.webp,1920,1280,,265.1
corporate-event-photographer-rsa-3.jpg,corporate-event-photographer-rsa-3-1200w.webp,medium,corporate-event-photographer-rsa-3-1200w.webp,1200,800,,116.0
corporate-event-photographer-rsa-3.jpg,corporate-event-photographer-rsa-3-400w.webp,thumb,corporate-event-photographer-rsa-3-400w.webp,400,266,,21.2
corporate-event-photographer-rsa-4.jpg,corporate-event-photographer-rsa-4-1920w.webp,large,corporate-event-photographer-rsa-4-1920w.webp,1920,1280,,295.2
corporate-event-photographer-rsa-4.jpg,corporate-event-photographer-rsa-4-1200w.webp,medium,corporate-event-photographer-rsa-4-1200w.webp,1200,800,,135.3
corporate-event-photographer-rsa-4.jpg,corporate-event-photographer-rsa-4-400w.webp,thumb,corporate-event-photographer-rsa-4-400w.webp,400,266,,26.7
corporate-event-photographer-rsa-5.jpg,corporate-event-photographer-rsa-5-1920w.webp,large,corporate-event-photographer-rsa-5-1920w.webp,1920,2880,,954.4
corporate-event-photographer-rsa-5.jpg,corporate-event-photographer-rsa-5-1200w.webp,medium,corporate-event-photographer-rsa-5-1200w.webp,1200,1800,,264.1
corporate-event-photographer-rsa-5.jpg,corporate-event-photographer-rsa-5-400w.webp,thumb,corporate-event-photographer-rsa-5-400w.webp,400,600,,39.0
corporate-event-photographer-rsa-6.jpg,corporate-event-photographer-rsa-6-1920w.webp,large,corporate-event-photographer-rsa-6-1920w.webp,1920,2880,,732.8
corporate-event-photographer-rsa-6.jpg,corporate-event-photographer-rsa-6-1200w.webp,medium,corporate-event-photographer-rsa-6-1200w.webp,1200,1799,,224.1
corporate-event-photographer-rsa-6.jpg,corporate-event-photographer-rsa-6-400w.webp,thumb,corporate-event-photographer-rsa-6-400w.webp,400,600,,34.1
