original,filename,size,path,width,height,alt,file_size_kb
GrupoNiche-10.jpg,gruponiche-live-performance-theatre-jacksonville-florida-1920w.webp,large,gruponiche-live-performance-theatre-jacksonville-florida-1920w.webp,1920,1280,"Gruponiche band members performing with trombone and guitar on stage at Theatre Jacksonville Florida in Jacksonville, Florida",115.8
GrupoNiche-10.jpg,gruponiche-live-performance-theatre-jacksonville-florida-1200w.webp,medium,gruponiche-live-performance-theatre-jacksonville-florida-1200w.webp,1200,800,"Gruponiche band members performing with trombone and guitar on stage at Theatre Jacksonville Florida in Jacksonville, Florida",61.8
GrupoNiche-10.jpg,gruponiche-live-performance-theatre-jacksonville-florida-400w.webp,thumb,gruponiche-live-performance-theatre-jacksonville-florida-400w.webp,400,266,"Gruponiche band members performing with trombone and guitar on stage at Theatre Jacksonville Florida in Jacksonville, Florida",11.7
GrupoNiche-14.jpg,gruponiche-concert-performance-theatre-jacksonville-florida-1920w.webp,large,gruponiche-concert-performance-theatre-jacksonville-florida-1920w.webp,1920,2400,"Gruponiche performing with microphone in patterned shirt at Theatre Jacksonville Florida in Jacksonville, Florida",327.1
GrupoNiche-14.jpg,gruponiche-concert-performance-theatre-jacksonville-florida-1200w.webp,medium,gruponiche-concert-performance-theatre-jacksonville-florida-1200w.webp,1200,1500,"Gruponiche performing with microphone in patterned shirt at Theatre Jacksonville Florida in Jacksonville, Florida",162.1
GrupoNiche-14.jpg,gruponiche-concert-performance-theatre-jacksonville-florida-400w.webp,thumb,gruponiche-concert-performance-theatre-jacksonville-florida-400w.webp,400,500,"Gruponiche performing with microphone in patterned shirt at Theatre Jacksonville Florida in Jacksonville, Florida",28.2
GrupoNiche-19.jpg,gruponiche-performer-theatre-jacksonville-florida-1920w.webp,large,gruponiche-performer-theatre-jacksonville-florida-1920w.webp,1920,1280,"Gruponiche performer in black and white striped jacket at Theatre Jacksonville Florida in Jacksonville, Florida",138.3
GrupoNiche-19.jpg,gruponiche-performer-theatre-jacksonville-florida-1200w.webp,medium,gruponiche-performer-theatre-jacksonville-florida-1200w.webp,1200,800,"Gruponiche performer in black and white striped jacket at Theatre Jacksonville Florida in Jacksonville, Florida",70.9
GrupoNiche-19.jpg,gruponiche-performer-theatre-jacksonville-florida-400w.webp,thumb,gruponiche-performer-theatre-jacksonville-florida-400w.webp,400,266,"Gruponiche performer in black and white striped jacket at Theatre Jacksonville Florida in Jacksonville, Florida",13.8
GrupoNiche-4.jpg,gruponiche-concert-theatre-jacksonville-florida-1920w.webp,large,gruponiche-concert-theatre-jacksonville-florida-1920w.webp,1920,1080,"Gruponiche performs on stage with dramatic lighting and seated audience at Theatre Jacksonville Florida in Jacksonville, Florida",146.0
GrupoNiche-4.jpg,gruponiche-concert-theatre-jacksonville-florida-1200w.webp,medium,gruponiche-concert-theatre-jacksonville-florida-1200w.webp,1200,675,"Gruponiche performs on stage with dramatic lighting and seated audience at Theatre Jacksonville Florida in Jacksonville, Florida",58.3
GrupoNiche-4.jpg,gruponiche-concert-theatre-jacksonville-florida-400w.webp,thumb,gruponiche-concert-theatre-jacksonville-florida-400w.webp,400,225,"Gruponiche performs on stage with dramatic lighting and seated audience at Theatre Jacksonville Florida in Jacksonville, Florida",10.2
GrupoNiche-5.jpg,gruponiche-concert-theatre-jacksonville-florida-2-1920w.webp,large,gruponiche-concert-theatre-jacksonville-florida-2-1920w.webp,1920,1080,"Gruponiche performs on stage before packed audience at Theatre Jacksonville Florida in Jacksonville, Florida",130.3
GrupoNiche-5.jpg,gruponiche-concert-theatre-jacksonville-florida-2-1200w.webp,medium,gruponiche-concert-theatre-jacksonville-florida-2-1200w.webp,1200,675,"Gruponiche performs on stage before packed audience at Theatre Jacksonville Florida in Jacksonville, Florida",62.0
GrupoNiche-5.jpg,gruponiche-concert-theatre-jacksonville-florida-2-400w.webp,thumb,gruponiche-concert-theatre-jacksonville-florida-2-400w.webp,400,225,"Gruponiche performs on stage before packed audience at Theatre Jacksonville Florida in Jacksonville, Florida",11.5
GrupoNiche-7.jpg,gruponiche-concert-theatre-jacksonville-florida-3-1920w.webp,large,gruponiche-concert-theatre-jacksonville-florida-3-1920w.webp,1920,1080,"Gruponiche performing on stage with dramatic lighting at Theatre Jacksonville Florida in Jacksonville, Florida",77.0
GrupoNiche-7.jpg,gruponiche-concert-theatre-jacksonville-florida-3-1200w.webp,medium,gruponiche-concert-theatre-jacksonville-florida-3-1200w.webp,1200,675,"Gruponiche performing on stage with dramatic lighting at Theatre Jacksonville Florida in Jacksonville, Florida",37.3
GrupoNiche-7.jpg,gruponiche-concert-theatre-jacksonville-florida-3-400w.webp,thumb,gruponiche-concert-theatre-jacksonville-florida-3-400w.webp,400,225,"Gruponiche performing on stage with dramatic lighting at Theatre Jacksonville Florida in Jacksonville, Florida",7.4
