original,filename,size,path,width,height,alt,file_size_kb
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_082.jpg,walk-ons-ribbon-cutting-st-augustine-1920w.webp,large,walk-ons-ribbon-cutting-st-augustine-1920w.webp,1920,1280,"Walk Ons St Johns Ribbon Cutting ceremony with large group of staff and community members in St. Augustine, Florida",255.5
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_082.jpg,walk-ons-ribbon-cutting-st-augustine-1200w.webp,medium,walk-ons-ribbon-cutting-st-augustine-1200w.webp,1200,800,"Walk Ons St Johns Ribbon Cutting ceremony with large group of staff and community members in St. Augustine, Florida",112.5
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_082.jpg,walk-ons-ribbon-cutting-st-augustine-400w.webp,thumb,walk-ons-ribbon-cutting-st-augustine-400w.webp,400,266,"Walk Ons St Johns Ribbon Cutting ceremony with large group of staff and community members in St. Augustine, Florida",19.3
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_085.jpg,walk-ons-ribbon-cutting-celebration-st-augustine-1920w.webp,large,walk-ons-ribbon-cutting-celebration-st-augustine-1920w.webp,1920,1536,"Walk Ons St Johns Ribbon Cutting staff celebrating outside restaurant in St. Augustine, Florida",249.0
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_085.jpg,walk-ons-ribbon-cutting-celebration-st-augustine-1200w.webp,medium,walk-ons-ribbon-cutting-celebration-st-augustine-1200w.webp,1200,960,"Walk Ons St Johns Ribbon Cutting staff celebrating outside restaurant in St. Augustine, Florida",105.6
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_085.jpg,walk-ons-ribbon-cutting-celebration-st-augustine-400w.webp,thumb,walk-ons-ribbon-cutting-celebration-st-augustine-400w.webp,400,320,"Walk Ons St Johns Ribbon Cutting staff celebrating outside restaurant in St. Augustine, Florida",18.3
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_108.jpg,walk-ons-ribbon-cutting-st-augustine-2-1920w.webp,large,walk-ons-ribbon-cutting-st-augustine-2-1920w.webp,1920,1536,"Walk Ons St Johns ribbon cutting ceremony with community members celebrating grand opening in St. Augustine, Florida",349.2
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_108.jpg,walk-ons-ribbon-cutting-st-augustine-2-1200w.webp,medium,walk-ons-ribbon-cutting-st-augustine-2-1200w.webp,1200,960,"Walk Ons St Johns ribbon cutting ceremony with community members celebrating grand opening in St. Augustine, Florida",150.8
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_108.jpg,walk-ons-ribbon-cutting-st-augustine-2-400w.webp,thumb,walk-ons-ribbon-cutting-st-augustine-2-400w.webp,400,320,"Walk Ons St Johns ribbon cutting ceremony with community members celebrating grand opening in St. Augustine, Florida",26.8
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_121.jpg,walk-ons-ribbon-cutting-celebration-st-augustine-2-1920w.webp,large,walk-ons-ribbon-cutting-celebration-st-augustine-2-1920w.webp,1920,2400,"Walk Ons St Johns employee smiling and celebrating during ribbon cutting ceremony in St. Augustine, Florida",589.4
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_121.jpg,walk-ons-ribbon-cutting-celebration-st-augustine-2-1200w.webp,medium,walk-ons-ribbon-cutting-celebration-st-augustine-2-1200w.webp,1200,1500,"Walk Ons St Johns employee smiling and celebrating during ribbon cutting ceremony in St. Augustine, Florida",155.4
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_121.jpg,walk-ons-ribbon-cutting-celebration-st-augustine-2-400w.webp,thumb,walk-ons-ribbon-cutting-celebration-st-augustine-2-400w.webp,400,500,"Walk Ons St Johns employee smiling and celebrating during ribbon cutting ceremony in St. Augustine, Florida",15.6
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_133.jpg,walk-ons-st-johns-employee-badge-st-augustine-1920w.webp,large,walk-ons-st-johns-employee-badge-st-augustine-1920w.webp,1920,2880,"Walk Ons St Johns employee holding restaurant name badge at sports bar in St. Augustine, Florida",663.4
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_133.jpg,walk-ons-st-johns-employee-badge-st-augustine-1200w.webp,medium,walk-ons-st-johns-employee-badge-st-augustine-1200w.webp,1200,1800,"Walk Ons St Johns employee holding restaurant name badge at sports bar in St. Augustine, Florida",170.4
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_133.jpg,walk-ons-st-johns-employee-badge-st-augustine-400w.webp,thumb,walk-ons-st-johns-employee-badge-st-augustine-400w.webp,400,600,"Walk Ons St Johns employee holding restaurant name badge at sports bar in St. Augustine, Florida",18.6
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_141.jpg,walk-ons-ribbon-cutting-st-augustine-3-1920w.webp,large,walk-ons-ribbon-cutting-st-augustine-3-1920w.webp,1920,2880,"Walk Ons St Johns Ribbon Cutting ceremony with customers entering sports bistro in St. Augustine, Florida",968.0
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_141.jpg,walk-ons-ribbon-cutting-st-augustine-3-1200w.webp,medium,walk-ons-ribbon-cutting-st-augustine-3-1200w.webp,1200,1800,"Walk Ons St Johns Ribbon Cutting ceremony with customers entering sports bistro in St. Augustine, Florida",298.4
2025_ WALK ONS ST JOHNS_RIBBON CUTTING_141.jpg,walk-ons-ribbon-cutting-st-augustine-3-400w.webp,thumb,walk-ons-ribbon-cutting-st-augustine-3-400w.webp,400,600,"Walk Ons St Johns Ribbon Cutting ceremony with customers entering sports bistro in St. Augustine, Florida",32.9
