original,filename,size,path,width,height,alt,file_size_kb
2026_ FORT MOSE- CROWD-NIGHT 512.jpg,fort-mose-jazz-festival-audience-applauding-1920w.webp,large,fort-mose-jazz-festival-audience-applauding-1920w.webp,1920,2400,"Concert audience members raising hands and applauding during live music performance in St. Augustine, Florida",883.9
2026_ FORT MOSE- CROWD-NIGHT 512.jpg,fort-mose-jazz-festival-audience-applauding-1200w.webp,medium,fort-mose-jazz-festival-audience-applauding-1200w.webp,1200,1500,"Concert audience members raising hands and applauding during live music performance in St. Augustine, Florida",261.1
2026_ FORT MOSE- CROWD-NIGHT 512.jpg,fort-mose-jazz-festival-audience-applauding-400w.webp,thumb,fort-mose-jazz-festival-audience-applauding-400w.webp,400,500,"Concert audience members raising hands and applauding during live music performance in St. Augustine, Florida",16.3
2026_ FORT MOSE- CROWD-NIGHT 517.jpg,fort-mose-jazz-festival-musician-performance-1920w.webp,large,fort-mose-jazz-festival-musician-performance-1920w.webp,1920,2400,"Jazz musician in black beret and blue coat performing at Fort Mose Jazz Festival in St. Augustine, Florida",788.6
2026_ FORT MOSE- CROWD-NIGHT 517.jpg,fort-mose-jazz-festival-musician-performance-1200w.webp,medium,fort-mose-jazz-festival-musician-performance-1200w.webp,1200,1500,"Jazz musician in black beret and blue coat performing at Fort Mose Jazz Festival in St. Augustine, Florida",240.6
2026_ FORT MOSE- CROWD-NIGHT 517.jpg,fort-mose-jazz-festival-musician-performance-400w.webp,thumb,fort-mose-jazz-festival-musician-performance-400w.webp,400,500,"Jazz musician in black beret and blue coat performing at Fort Mose Jazz Festival in St. Augustine, Florida",14.5
2026_ FORT MOSE- HANNAH STOKES02.jpg,hannah-stokes-fort-mose-jazz-festival-performance-1920w.webp,large,hannah-stokes-fort-mose-jazz-festival-performance-1920w.webp,1920,2399,"Hannah Stokes performing with guitar and microphone at Fort Mose Jazz Festival in St. Augustine, Florida",598.8
2026_ FORT MOSE- HANNAH STOKES02.jpg,hannah-stokes-fort-mose-jazz-festival-performance-1200w.webp,medium,hannah-stokes-fort-mose-jazz-festival-performance-1200w.webp,1200,1499,"Hannah Stokes performing with guitar and microphone at Fort Mose Jazz Festival in St. Augustine, Florida",215.7
2026_ FORT MOSE- HANNAH STOKES02.jpg,hannah-stokes-fort-mose-jazz-festival-performance-400w.webp,thumb,hannah-stokes-fort-mose-jazz-festival-performance-400w.webp,400,499,"Hannah Stokes performing with guitar and microphone at Fort Mose Jazz Festival in St. Augustine, Florida",17.7
2026_ FORT MOSE- SAMARA JOY-02.jpg,samara-joy-fort-mose-jazz-festival-performance-1920w.webp,large,samara-joy-fort-mose-jazz-festival-performance-1920w.webp,1920,2400,"Samara Joy performing with orchestra at Fort Mose Jazz Festival in St. Augustine, Florida",300.0
