original,filename,size,path,width,height,alt,file_size_kb
2025_ PVCH_ FALL MERCH _SEQUENCE 1-14.jpg,outdoor-lifestyle-ponte-vedra-florida-1920w.webp,large,outdoor-lifestyle-ponte-vedra-florida-1920w.webp,1920,2399,"Fall Merch Sequence 1 wearing Champion hoodie and outdoor lifestyle apparel at Concert Hall in Ponte Vedra, Florida",329.1
2025_ PVCH_ FALL MERCH _SEQUENCE 1-14.jpg,outdoor-lifestyle-ponte-vedra-florida-1200w.webp,medium,outdoor-lifestyle-ponte-vedra-florida-1200w.webp,1200,1499,"Fall Merch Sequence 1 wearing Champion hoodie and outdoor lifestyle apparel at Concert Hall in Ponte Vedra, Florida",112.8
2025_ PVCH_ FALL MERCH _SEQUENCE 1-14.jpg,outdoor-lifestyle-ponte-vedra-florida-400w.webp,thumb,outdoor-lifestyle-ponte-vedra-florida-400w.webp,400,499,"Fall Merch Sequence 1 wearing Champion hoodie and outdoor lifestyle apparel at Concert Hall in Ponte Vedra, Florida",11.0
2025_ PVCH_ FALL MERCH _SEQUENCE 1-17.jpg,outdoor-lifestyle-ponte-vedra-florida-2-1920w.webp,large,outdoor-lifestyle-ponte-vedra-florida-2-1920w.webp,1920,2399,"Fall Merch Sequence 1 wearing sunglasses and branded sweatshirt outdoors at Concert Hall in Ponte Vedra, Florida",353.7
2025_ PVCH_ FALL MERCH _SEQUENCE 1-17.jpg,outdoor-lifestyle-ponte-vedra-florida-2-1200w.webp,medium,outdoor-lifestyle-ponte-vedra-florida-2-1200w.webp,1200,1499,"Fall Merch Sequence 1 wearing sunglasses and branded sweatshirt outdoors at Concert Hall in Ponte Vedra, Florida",122.7
2025_ PVCH_ FALL MERCH _SEQUENCE 1-17.jpg,outdoor-lifestyle-ponte-vedra-florida-2-400w.webp,thumb,outdoor-lifestyle-ponte-vedra-florida-2-400w.webp,400,499,"Fall Merch Sequence 1 wearing sunglasses and branded sweatshirt outdoors at Concert Hall in Ponte Vedra, Florida",16.0
2025_ PVCH_ FALL MERCH _SEQUENCE 1-19.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-1920w.webp,large,outdoor-lifestyle-fishing-ponte-vedra-florida-1920w.webp,1920,1920,"Fall Merch Sequence 1 fishing from dock wearing outdoor lifestyle apparel at Concert Hall in Ponte Vedra, Florida",292.3
2025_ PVCH_ FALL MERCH _SEQUENCE 1-19.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-1200w.webp,medium,outdoor-lifestyle-fishing-ponte-vedra-florida-1200w.webp,1200,1200,"Fall Merch Sequence 1 fishing from dock wearing outdoor lifestyle apparel at Concert Hall in Ponte Vedra, Florida",107.4
2025_ PVCH_ FALL MERCH _SEQUENCE 1-19.jpg,outdoor-lifestyle-fishing-ponte-vedra-florida-400w.webp,thumb,outdoor-lifestyle-fishing-ponte-vedra-florida-400w.webp,400,400,"Fall Merch Sequence 1 fishing from dock wearing outdoor lifestyle apparel at Concert Hall in Ponte Vedra, Florida",17.6
2025_ PVCH_ FALL MERCH-101.jpg,outdoor-lifestyle-waterfront-ponte-vedra-florida-1920w.webp,large,outdoor-lifestyle-waterfront-ponte-vedra-florida-1920w.webp,1920,2400,"Fall Merch displays outdoor brand sticker featuring heron logo near waterfront at Concert Hall in Ponte Vedra, Florida",429.9
2025_ PVCH_ FALL MERCH-101.jpg,outdoor-lifestyle-waterfront-ponte-vedra-florida-1200w.webp,medium,outdoor-lifestyle-waterfront-ponte-vedra-florida-1200w.webp,1200,1500,"Fall Merch displays outdoor brand sticker featuring heron logo near waterfront at Concert Hall in Ponte Vedra, Florida",172.7
