original,filename,size,path,width,height,alt,file_size_kb
2025_ JON BATISTE_ St Augustine Amphitheatre _ St Augustine FL-2.jpg,jon-batiste-concert-augustine-amphitheatre-st-augustine-1920w.webp,large,jon-batiste-concert-augustine-amphitheatre-st-augustine-1920w.webp,1920,2400,"Jon Batiste performing on stage with dramatic lighting and crowd at Augustine Amphitheatre in St. Augustine, Florida",721.5
2025_ JON BATISTE_ St Augustine Amphitheatre _ St Augustine FL-2.jpg,jon-batiste-concert-augustine-amphitheatre-st-augustine-1200w.webp,medium,jon-batiste-concert-augustine-amphitheatre-st-augustine-1200w.webp,1200,1500,"Jon Batiste performing on stage with dramatic lighting and crowd at Augustine Amphitheatre in St. Augustine, Florida",242.5
2025_ JON BATISTE_ St Augustine Amphitheatre _ St Augustine FL-2.jpg,jon-batiste-concert-augustine-amphitheatre-st-augustine-400w.webp,thumb,jon-batiste-concert-augustine-amphitheatre-st-augustine-400w.webp,400,500,"Jon Batiste performing on stage with dramatic lighting and crowd at Augustine Amphitheatre in St. Augustine, Florida",30.0
2025_ JON BATISTE_ St Augustine Amphitheatre _ St Augustine FL-4.jpg,jon-batiste-live-performance-augustine-amphitheatre-1920w.webp,large,jon-batiste-live-performance-augustine-amphitheatre-1920w.webp,1920,2399,"Jon Batiste performing energetically on stage with microphone raised at Augustine Amphitheatre in St. Augustine, Florida",253.6
2025_ JON BATISTE_ St Augustine Amphitheatre _ St Augustine FL-4.jpg,jon-batiste-live-performance-augustine-amphitheatre-1200w.webp,medium,jon-batiste-live-performance-augustine-amphitheatre-1200w.webp,1200,1499,"Jon Batiste performing energetically on stage with microphone raised at Augustine Amphitheatre in St. Augustine, Florida",110.4
2025_ JON BATISTE_ St Augustine Amphitheatre _ St Augustine FL-4.jpg,jon-batiste-live-performance-augustine-amphitheatre-400w.webp,thumb,jon-batiste-live-performance-augustine-amphitheatre-400w.webp,400,499,"Jon Batiste performing energetically on stage with microphone raised at Augustine Amphitheatre in St. Augustine, Florida",16.1
2025_ JON BATISTE_ St Augustine Amphitheatre _ St Augustine FL-5.jpg,jon-batiste-performance-augustine-amphitheatre-st-augustine-1920w.webp,large,jon-batiste-performance-augustine-amphitheatre-st-augustine-1920w.webp,1920,2399,"Jon Batiste performs with arms outstretched on stage at Augustine Amphitheatre in St. Augustine, Florida",193.0
2025_ JON BATISTE_ St Augustine Amphitheatre _ St Augustine FL-5.jpg,jon-batiste-performance-augustine-amphitheatre-st-augustine-1200w.webp,medium,jon-batiste-performance-augustine-amphitheatre-st-augustine-1200w.webp,1200,1499,"Jon Batiste performs with arms outstretched on stage at Augustine Amphitheatre in St. Augustine, Florida",65.2
2025_ JON BATISTE_ St Augustine Amphitheatre _ St Augustine FL-5.jpg,jon-batiste-performance-augustine-amphitheatre-st-augustine-400w.webp,thumb,jon-batiste-performance-augustine-amphitheatre-st-augustine-400w.webp,400,499,"Jon Batiste performs with arms outstretched on stage at Augustine Amphitheatre in St. Augustine, Florida",13.2
2025_ John Legend _STA -00.JPG,john-legend-sta-live-performance-augustine-amphitheatre-1920w.webp,large,john-legend-sta-live-performance-augustine-amphitheatre-1920w.webp,864,1080,"John Legend Sta performing in white suit with microphone raised at Augustine Amphitheatre in St. Augustine, Florida",219.3
2025_ John Legend _STA -00.JPG,john-legend-sta-live-performance-augustine-amphitheatre-1200w.webp,medium,john-legend-sta-live-performance-augustine-amphitheatre-1200w.webp,864,1080,"John Legend Sta performing in white suit with microphone raised at Augustine Amphitheatre in St. Augustine, Florida",219.3
2025_ John Legend _STA -00.JPG,john-legend-sta-live-performance-augustine-amphitheatre-400w.webp,thumb,john-legend-sta-live-performance-augustine-amphitheatre-400w.webp,400,500,"John Legend Sta performing in white suit with microphone raised at Augustine Amphitheatre in St. Augustine, Florida",26.3
2025_ John Legend _STA -03.JPG,john-legend-sta-concert-augustine-amphitheatre-1920w.webp,large,john-legend-sta-concert-augustine-amphitheatre-1920w.webp,864,1080,"John Legend Sta performing on stage with dramatic lighting at Augustine Amphitheatre in St. Augustine, Florida",183.6
2025_ John Legend _STA -03.JPG,john-legend-sta-concert-augustine-amphitheatre-1200w.webp,medium,john-legend-sta-concert-augustine-amphitheatre-1200w.webp,864,1080,"John Legend Sta performing on stage with dramatic lighting at Augustine Amphitheatre in St. Augustine, Florida",183.6
2025_ John Legend _STA -03.JPG,john-legend-sta-concert-augustine-amphitheatre-400w.webp,thumb,john-legend-sta-concert-augustine-amphitheatre-400w.webp,400,500,"John Legend Sta performing on stage with dramatic lighting at Augustine Amphitheatre in St. Augustine, Florida",34.5
2025_ John Legend _STA -09.JPG,john-legend-sta-concert-augustine-amphitheatre-st-augustine-1920w.webp,large,john-legend-sta-concert-augustine-amphitheatre-st-augustine-1920w.webp,1080,1350,"John Legend Sta performs on stage with dramatic lighting and drum kit at Augustine Amphitheatre in St. Augustine, Florida",277.0
2025_ John Legend _STA -09.JPG,john-legend-sta-concert-augustine-amphitheatre-st-augustine-1200w.webp,medium,john-legend-sta-concert-augustine-amphitheatre-st-augustine-1200w.webp,1080,1350,"John Legend Sta performs on stage with dramatic lighting and drum kit at Augustine Amphitheatre in St. Augustine, Florida",277.0
2025_ John Legend _STA -09.JPG,john-legend-sta-concert-augustine-amphitheatre-st-augustine-400w.webp,thumb,john-legend-sta-concert-augustine-amphitheatre-st-augustine-400w.webp,400,500,"John Legend Sta performs on stage with dramatic lighting and drum kit at Augustine Amphitheatre in St. Augustine, Florida",20.1
2025_ John Legend _STA -11.JPG,john-legend-sta-live-performance-augustine-amphitheatre-2-1920w.webp,large,john-legend-sta-live-performance-augustine-amphitheatre-2-1920w.webp,831,1039,"John Legend Sta performing on stage with microphone and white outfit at Augustine Amphitheatre in St. Augustine, Florida",159.9
